team,plays,raw_ppa_over_expected,shrunk_ppa_over_expected,posterior_sd,rank_estimate,rank_low_90,rank_high_90,one_play_swing_in_raw_mean,rank_interval_width,could_be_top_25,interval_text
Wisconsin,97,-0.0948146196426722,-0.013277824770218,0.0488620081824163,104,16.0,133.0,0.0887686559772687,118.0,True,16th to 133th
Oklahoma,93,-0.098610853366446,-0.0133168898485166,0.049003707311741,105,14.0,134.0,0.0369969141126156,121.0,True,14th to 134th
Michigan State,144,-0.0728114656478096,-0.0141752305833553,0.0472841187973005,106,17.0,133.0,0.0348977975373806,117.0,True,17th to 133th
UL Monroe,89,-0.1092906490831801,-0.0142068585405939,0.049146646410988,107,15.0,134.0,0.0414159583527732,120.0,True,15th to 134th
West Virginia,98,-0.1085061849767264,-0.0153297092634996,0.0488267750486743,108,16.0,133.0,0.0574718029349835,118.0,True,16th to 133th
Georgia Southern,123,-0.1002080873969529,-0.0171508011435521,0.0479699902107253,109,17.0,134.0,0.0374166758280804,118.0,True,17th to 134th
Washington State,92,-0.1320164355769022,-0.017662088929231,0.0490393251351347,110,16.0,134.0,0.0304694370460352,119.0,True,16th to 134th
Troy,132,-0.1041798900383508,-0.0188985865446256,0.047672410856732,111,18.0,134.0,0.0423830403660566,117.0,True,18th to 134th
Rutgers,113,-0.1191990652041101,-0.0190069911778066,0.0483072601707757,112,19.0,134.0,0.0426923268318199,116.0,True,19th to 134th
Bowling Green,88,-0.1523535570406172,-0.0196107904800256,0.0491825770546222,113,18.0,135.0,0.0537905576889806,118.0,True,18th to 135th
California,141,-0.1028108976183609,-0.0196784630144013,0.0473803017233394,114,19.0,134.0,0.0265441366597965,116.0,True,19th to 134th
Michigan,101,-0.1383942385075993,-0.0200640457170894,0.0487215311985602,115,19.94999999999996,134.0,0.0544652092088007,115.05000000000004,True,19th to 134th
Liberty,129,-0.1220662032736837,-0.021729556236449,0.0477709877892875,116,21.0,134.0,0.0453164831520813,114.0,True,21th to 134th
Utah State,142,-0.1197998481175831,-0.023061543844992,0.0473481755607087,117,20.0,134.0,0.0445974786732626,115.0,True,20th to 134th
Old Dominion,76,-0.2091045013906417,-0.0236606945563064,0.0496199844474535,118,19.0,135.0,0.0507256904696726,117.0,True,19th to 135th
Texas A&M,119,-0.1471739065887435,-0.0245063315199682,0.0481040485170183,119,22.0,135.0,0.0273179212813383,114.0,True,22th to 135th
San Diego State,94,-0.186673286140797,-0.025443390797255,0.0489681669846801,120,20.0,135.0,0.035290015677501,116.0,True,20th to 135th
UNLV,184,-0.1098093755695184,-0.0259150464366408,0.0460552071021794,121,25.0,135.0,0.0297018877980781,111.0,True,25th to 135th
Iowa,111,-0.1653672179579346,-0.0259753788148908,0.0483755718460737,122,24.0,135.0,0.0447176785168117,112.0,True,24th to 135th
Oregon,121,-0.1658723989464859,-0.0280056934564853,0.0480368790688765,123,23.0,136.0,0.0455919283198315,114.0,True,23th to 136th
Vanderbilt,126,-0.1607975536916535,-0.0280748437839818,0.0478701787734078,124,28.0,135.0,0.0362860648939983,108.0,False,28th to 135th
TCU,110,-0.1841573470469776,-0.0287068959203689,0.0484098365383938,125,26.0,136.0,0.045645148432311,111.0,False,26th to 136th
Auburn,134,-0.1593510816692436,-0.0292643764817567,0.0476070309218915,126,24.0,136.0,0.0324919915849199,113.0,True,24th to 136th
Northern Illinois,87,-0.2448121527437449,-0.0311995096954645,0.0492185866193111,127,27.0,136.0,0.090334577837504,110.0,False,27th to 136th
