team,plays,raw_ppa_over_expected,shrunk_ppa_over_expected,posterior_sd,rank_estimate,rank_low_90,rank_high_90,one_play_swing_in_raw_mean,rank_interval_width
Fresno State,63,0.03459137349547266,0.0033086213375865814,0.05010726766869863,64,7.0,129.0,0.08791935852484839,123.0
South Florida,109,0.01989576369611315,0.0030775668306365247,0.04844417414363797,65,9.0,127.04999999999973,0.05036069736232804,119.04999999999973
Tulane,101,0.021198578583173318,0.0030733161612558567,0.04872153119856023,66,9.94999999999996,128.0,0.06554632299293518,119.05000000000004
Missouri State,65,0.027095329020177864,0.0026658135596396956,0.050031365923009406,67,8.0,129.0,0.08385135230574749,122.0
Duke,124,0.012027482081007002,0.0020723783148220943,0.04793665039337106,68,10.0,129.0,0.03135968556599495,120.0
Tennessee,112,0.007915482179146819,0.0012527682842953447,0.04834137980900191,69,9.0,128.0,0.03495401023005296,120.0
East Carolina,87,0.005778387357611445,0.0007364130022444493,0.049218586619311125,70,10.0,129.0,0.08853729107382514,120.0
Southern Miss,97,0.0005849007908584113,8.190941690478141e-05,0.04886200818241634,71,10.0,129.0,0.07596717839679086,120.0
UTSA,113,-0.0032770498395105103,-0.0005225448478320883,0.04830726017077575,72,10.0,130.0,0.032227092076801175,121.0
Kansas,106,-0.004399989405539412,-0.0006647078029062191,0.048547627032938724,73,10.94999999999996,130.0,0.02729512960115123,120.05000000000004
Boston College,127,-0.004668367818560251,-0.0008204172265756399,0.04783704649083401,74,11.0,129.0,0.0499372526978195,119.0
Pittsburgh,118,-0.014081505768483741,-0.0023283043475619786,0.04813773907634227,75,11.0,130.0,0.041612663672056224,120.0
Ohio State,106,-0.01831030439528157,-0.0027661435252114225,0.048547627032938724,76,10.0,130.0,0.04507653493840218,121.0
Kansas State,98,-0.02066457802501333,-0.00291948309899851,0.0488267750486743,77,11.0,130.0,0.10345350217254393,120.0
Syracuse,121,-0.017339862908426214,-0.0029276412970161195,0.04803687906887658,78,10.0,130.0,0.0606478913515732,121.0
Florida International,153,-0.016526750590530128,-0.003377491572076924,0.046999046954825964,79,12.0,129.0,0.03731890953364481,118.0
Penn State,97,-0.028848062678229175,-0.00403987826608759,0.04886200818241634,80,11.0,130.0,0.052137500072142164,120.0
Baylor,141,-0.02323185413192849,-0.004446680195207989,0.047380301723339416,81,12.0,129.0,0.029709581567216713,118.0
NC State,69,-0.04381723886202904,-0.004548776038094671,0.04988059149125876,82,10.0,132.0,0.0620963406218514,123.0
UTEP,71,-0.05527584826445119,-0.005886936709531148,0.04980571365468357,83,10.0,132.0,0.1592392285457085,123.0
UCF,85,-0.04767780035702095,-0.005953946214478273,0.04929084367069366,84,11.0,131.0,0.05675338284203931,121.0
Delaware,117,-0.038275055825742095,-0.006283755972850764,0.04817150052238309,85,12.0,130.0,0.03678017476881651,119.0
North Dakota State,160,-0.0301978755529576,-0.006393960363752502,0.0467808543950495,86,13.0,131.0,0.07596259803866902,119.0
Rice,98,-0.04857338872162066,-0.006862428415533294,0.0488267750486743,87,10.0,131.0,0.03978639346812827,122.0
Texas,121,-0.04320671794740919,-0.007294969541535056,0.04803687906887658,88,13.0,131.0,0.03763771121321203,119.0
Kentucky,105,-0.04933080142261121,-0.007392650000534035,0.048582258892383566,89,13.0,131.0,0.07536831189580974,119.0
Tulsa,125,-0.045786105657443434,-0.007941696787917228,0.04790337999445364,90,15.0,132.0,0.053556699006927236,118.0
New Mexico,93,-0.06086247986636512,-0.008219165666035427,0.04900370731174104,91,12.0,132.0,0.05490463788791297,121.0
James Madison,79,-0.07742192829280077,-0.00906579956590173,0.049509539330211676,92,12.0,133.0,0.06333850316112376,122.0
Iowa State,96,-0.06575828295457196,-0.009127020737991078,0.04889731769850883,93,13.0,132.0,0.03166285180324271,120.0
South Carolina,98,-0.06630858949171259,-0.009368050298687878,0.0488267750486743,94,13.0,133.0,0.053112498338446244,121.0
Florida State,128,-0.05524059929051939,-0.009770882333121192,0.047803982908490694,95,16.0,131.04999999999973,0.036425228126635456,116.04999999999973
Maryland,113,-0.06560031220473085,-0.010460355147933545,0.04830726017077575,96,14.0,132.0,0.052772976682701374,119.0
Western Kentucky,87,-0.09108392639578536,-0.011607977025801023,0.049218586619311125,97,13.0,133.0,0.048646381737110445,121.0
Kent State,103,-0.08015901945862261,-0.011817449122946968,0.04865174553881803,98,15.0,133.0,0.0373369992521628,119.0
Wyoming,109,-0.07745957226561899,-0.011981797429898773,0.04844417414363797,99,14.0,133.0,0.033012036097516365,120.0
Marshall,91,-0.09093818710271011,-0.012051634034815803,0.04907502073690822,100,14.0,133.0,0.06421376752873062,120.0
Georgia Tech,123,-0.0741931392196001,-0.012698294219813002,0.047969990210725316,101,16.0,132.0,0.07948774135061884,117.0
Minnesota,94,-0.09461266701802551,-0.012895616245243161,0.04896816698468018,102,14.0,133.0,0.04844224575872703,120.0
Louisiana Tech,65,-0.13300080396567918,-0.013085478548374576,0.050031365923009406,103,14.0,133.0,0.04712968104712648,120.0
Wisconsin,97,-0.09481461964267228,-0.013277824770218017,0.04886200818241634,104,16.0,133.0,0.08876865597726874,118.0
Oklahoma,93,-0.09861085336644608,-0.013316889848516663,0.04900370731174104,105,14.0,134.0,0.036996914112615686,121.0
Michigan State,144,-0.07281146564780965,-0.01417523058335531,0.04728411879730058,106,17.0,133.0,0.034897797537380655,117.0
UL Monroe,89,-0.10929064908318017,-0.014206858540593925,0.04914664641098802,107,15.0,134.0,0.04141595835277324,120.0
West Virginia,98,-0.1085061849767264,-0.015329709263499679,0.0488267750486743,108,16.0,133.0,0.05747180293498359,118.0
Georgia Southern,123,-0.10020808739695296,-0.017150801143552184,0.047969990210725316,109,17.0,134.0,0.037416675828080406,118.0
Washington State,92,-0.1320164355769022,-0.01766208892923102,0.049039325135134725,110,16.0,134.0,0.030469437046035233,119.0
Troy,132,-0.10417989003835088,-0.018898586544625673,0.047672410856732024,111,18.0,134.0,0.04238304036605665,117.0
Rutgers,113,-0.11919906520411015,-0.01900699117780663,0.04830726017077575,112,19.0,134.0,0.04269232683181996,116.0
Bowling Green,88,-0.1523535570406172,-0.01961079048002562,0.049182577054622215,113,18.0,135.0,0.05379055768898067,118.0
California,141,-0.10281089761836096,-0.01967846301440135,0.047380301723339416,114,19.0,134.0,0.026544136659796592,116.0
Michigan,101,-0.13839423850759935,-0.02006404571708945,0.04872153119856023,115,19.94999999999996,134.0,0.054465209208800734,115.05000000000004
Liberty,129,-0.12206620327368371,-0.021729556236449094,0.047770987789287546,116,21.0,134.0,0.04531648315208131,114.0
Utah State,142,-0.11979984811758311,-0.023061543844992007,0.04734817556070874,117,20.0,134.0,0.04459747867326262,115.0
Old Dominion,76,-0.20910450139064177,-0.023660694556306427,0.04961998444745354,118,19.0,135.0,0.05072569046967267,117.0
Texas A&M,119,-0.14717390658874352,-0.024506331519968207,0.048104048517018334,119,22.0,135.0,0.02731792128133835,114.0
San Diego State,94,-0.18667328614079706,-0.02544339079725506,0.04896816698468018,120,20.0,135.0,0.03529001567750106,116.0
UNLV,184,-0.10980937556951843,-0.025915046436640835,0.046055207102179474,121,25.0,135.0,0.029701887798078187,111.0
