team_offense,team_defense,largest_abs_edge
Akron,Troy,0.005512478604089292
Akron,Tulane,0.012305052051897152
Akron,Tulsa,0.016182952158260162
Akron,UAB,0.011809661912894445
Akron,UCF,0.015812006630956374
Akron,UCLA,0.006923077182984575
Akron,UConn,0.009356856185374088
Akron,UL Monroe,0.02056303480620262
Akron,UNLV,0.01085346880180831
Akron,USC,0.010875453610588965
Akron,UTEP,0.006700463165822791
Akron,UTSA,0.012200215076539529
Akron,Utah,0.010693415020999375
Akron,Utah State,0.011106685671904433
Akron,Vanderbilt,0.012907955855737315
Akron,Virginia,0.0032038096841698113
Akron,Virginia Tech,0.00901087380606582
Akron,Wake Forest,0.004657454040764387
Akron,Washington,0.014393710294745309
Akron,Washington State,0.018044639560018817
Akron,West Virginia,0.0165216742632331
Akron,Western Kentucky,0.018798383876204756
Akron,Western Michigan,0.007476508423466968
Akron,Wisconsin,0.008199463640417494
Akron,Wyoming,0.0061165533193985955
Alabama,Air Force,0.005279118246956795
Alabama,Akron,0.015062964734784714
Alabama,App State,0.010191282640595139
Alabama,Arizona,0.010998428584238384
Alabama,Arizona State,0.0047130674973194205
Alabama,Arkansas,0.012270094761939594
Alabama,Arkansas State,0.009609910684149382
Alabama,Army,0.009494467368306878
Alabama,Auburn,0.01324192250053724
Alabama,BYU,0.0039548571639187865
Alabama,Ball State,0.004031836170241863
Alabama,Baylor,0.003357818974406894
Alabama,Boise State,0.005259453521382787
Alabama,Boston College,0.004925694460827634
Alabama,Bowling Green,0.0083799169285729
Alabama,Buffalo,0.012218302209410573
Alabama,California,0.023798967773527427
Alabama,Central Michigan,0.004614438240899678
Alabama,Charlotte,0.006160545176944135
Alabama,Cincinnati,0.019632132891217895
Alabama,Clemson,0.005760669511925151
Alabama,Coastal Carolina,0.0016036116473993175
Alabama,Colorado,0.008079346581613883
Alabama,Colorado State,0.010717540455920218
Alabama,Delaware,0.008178165703723001
Alabama,Duke,0.008565236026549499
Alabama,East Carolina,0.006789543338291393
Alabama,Eastern Michigan,0.0035660367367654046
Alabama,Florida,0.005109837819141996
Alabama,Florida Atlantic,0.019639955931249876
Alabama,Florida International,0.0065051585057465736
Alabama,Florida State,0.007392616067652831
Alabama,Fresno State,0.011012249343568778
Alabama,Georgia,0.0038418873832221116
Alabama,Georgia Southern,0.01798248922726532
Alabama,Georgia State,0.007951556525922394
Alabama,Georgia Tech,0.005987363183892045
Alabama,Hawai'i,0.008466416636055962
Alabama,Houston,0.0056313515283601175
Alabama,Illinois,0.010519234133032233
Alabama,Indiana,0.008631609541989377
Alabama,Iowa,0.005259430818597666
Alabama,Iowa State,0.0035223157372141277
Alabama,Jacksonville State,0.006795655021051287
Alabama,James Madison,0.0037305617945835824
Alabama,Kansas,0.007382771826829348
Alabama,Kansas State,0.0029458163405375144
Alabama,Kennesaw State,0.0013905000945310254
Alabama,Kent State,0.012839718088982573
Alabama,Kentucky,0.008807911366287119
Alabama,LSU,0.012340809053401859
Alabama,Liberty,0.0013609626917899412
Alabama,Louisiana,0.005723854067977683
Alabama,Louisiana Tech,0.011557274470406258
Alabama,Louisville,0.009458999853732546
Alabama,Marshall,0.007916995188858213
Alabama,Maryland,0.004071055587728793
Alabama,Massachusetts,0.011345690560855737
Alabama,Memphis,0.030413660509328568
Alabama,Miami,0.004576219326100793
Alabama,Miami (OH),0.004255404686561513
Alabama,Michigan,0.00715279020606539
Alabama,Michigan State,0.007291805404414349
Alabama,Middle Tennessee,0.006377912823243604
Alabama,Minnesota,0.011903831643527119
Alabama,Mississippi State,0.002872096139716153
Alabama,Missouri,0.0026621125919086587
Alabama,Missouri State,0.007287568854928888
Alabama,NC State,0.008902859880734311
Alabama,Navy,0.012549024731014536
Alabama,Nebraska,0.014349028028674637
Alabama,Nevada,0.007494869464049509
Alabama,New Mexico,0.0061642706157132255
Alabama,New Mexico State,0.003448089474360504
Alabama,North Carolina,0.0049486076917864205
